ind,t_stamp,tr_light_id,no_of_cars
1,15:00:00,1,71
2,15:00:00,2,40
3,15:00:00,3,27
4,15:05:00,1,74
5,15:05:00,2,62
6,15:05:00,3,42
7,15:10:00,1,94
8,15:10:00,2,48
9,15:10:00,3,33
10,15:15:00,1,59
11,15:15:00,2,84
12,15:15:00,3,25
13,15:20:00,1,20
14,15:20:00,2,31
15,15:20:00,3,96
16,15:25:00,1,77
17,15:25:00,2,85
18,15:25:00,3,76
19,15:30:00,1,96
20,15:30:00,2,50
21,15:30:00,3,99
22,15:35:00,1,32
23,15:35:00,2,93
24,15:35:00,3,97
25,15:40:00,1,81
26,15:40:00,2,87
27,15:40:00,3,60
28,15:45:00,1,31
29,15:45:00,2,21
30,15:45:00,3,64
31,15:50:00,1,86
32,15:50:00,2,36
33,15:50:00,3,29
34,15:55:00,1,50
35,15:55:00,2,63
36,15:55:00,3,63
37,16:00:00,1,82
38,16:00:00,2,30
39,16:00:00,3,57
40,16:05:00,1,26
41,16:05:00,2,99
42,16:05:00,3,100
43,16:10:00,1,42
44,16:10:00,2,34
45,16:10:00,3,21
46,16:15:00,1,100
47,16:15:00,2,83
48,16:15:00,3,30
49,16:20:00,1,38
50,16:20:00,2,39
51,16:20:00,3,33
52,16:25:00,1,44
53,16:25:00,2,36
54,16:25:00,3,75
55,16:30:00,1,72
56,16:30:00,2,20
57,16:30:00,3,75
58,16:35:00,1,87
59,16:35:00,2,80
60,16:35:00,3,56
61,16:40:00,1,79
62,16:40:00,2,23
63,16:40:00,3,91
64,16:45:00,1,62
65,16:45:00,2,43
66,16:45:00,3,54
67,16:50:00,1,21
68,16:50:00,2,54
69,16:50:00,3,47
70,16:55:00,1,65
71,16:55:00,2,99
72,16:55:00,3,43
73,17:00:00,1,22
74,17:00:00,2,88
75,17:00:00,3,67
76,17:05:00,1,34
77,17:05:00,2,57
78,17:05:00,3,25
79,17:10:00,1,86
80,17:10:00,2,66
81,17:10:00,3,24
82,17:15:00,1,25
83,17:15:00,2,97
84,17:15:00,3,64
85,17:20:00,1,99
86,17:20:00,2,22
87,17:20:00,3,45
88,17:25:00,1,32
89,17:25:00,2,93
90,17:25:00,3,53
91,17:30:00,1,86
92,17:30:00,2,44
93,17:30:00,3,72
94,17:35:00,1,54
95,17:35:00,2,20
96,17:35:00,3,72
97,17:40:00,1,66
98,17:40:00,2,83
99,17:40:00,3,49
100,17:45:00,1,32
101,17:45:00,2,70
102,17:45:00,3,44
103,17:50:00,1,67
104,17:50:00,2,88
105,17:50:00,3,24
106,17:55:00,1,72
107,17:55:00,2,95
108,17:55:00,3,72
109,18:00:00,1,26
110,18:00:00,2,50
111,18:00:00,3,81
112,18:05:00,1,99
113,18:05:00,2,67
114,18:05:00,3,70
115,18:10:00,1,54
116,18:10:00,2,97
117,18:10:00,3,69
118,18:15:00,1,68
119,18:15:00,2,93
120,18:15:00,3,75
121,18:20:00,1,94
122,18:20:00,2,63
123,18:20:00,3,68
124,18:25:00,1,85
125,18:25:00,2,56
126,18:25:00,3,71
127,18:30:00,1,36
128,18:30:00,2,98
129,18:30:00,3,59
130,18:35:00,1,81
131,18:35:00,2,78
132,18:35:00,3,92
133,18:40:00,1,99
134,18:40:00,2,66
135,18:40:00,3,55
136,18:45:00,1,66
137,18:45:00,2,38
138,18:45:00,3,62
139,18:50:00,1,35
140,18:50:00,2,100
141,18:50:00,3,77
142,18:55:00,1,91
143,18:55:00,2,92
144,18:55:00,3,59
145,19:00:00,1,25
146,19:00:00,2,86
147,19:00:00,3,63
148,19:05:00,1,44
149,19:05:00,2,38
150,19:05:00,3,71
151,19:10:00,1,52
152,19:10:00,2,65
153,19:10:00,3,94
154,19:15:00,1,29
155,19:15:00,2,42
156,19:15:00,3,85
157,19:20:00,1,62
158,19:20:00,2,39
159,19:20:00,3,26
160,19:25:00,1,77
161,19:25:00,2,92
162,19:25:00,3,43
163,19:30:00,1,34
164,19:30:00,2,64
165,19:30:00,3,68
166,19:35:00,1,91
167,19:35:00,2,51
168,19:35:00,3,70
169,19:40:00,1,88
170,19:40:00,2,27
171,19:40:00,3,54
172,19:45:00,1,56
173,19:45:00,2,33
174,19:45:00,3,73
175,19:50:00,1,95
176,19:50:00,2,39
177,19:50:00,3,20
178,19:55:00,1,71
179,19:55:00,2,48
180,19:55:00,3,82
181,20:00:00,1,89
182,20:00:00,2,67
183,20:00:00,3,31
184,20:05:00,1,22
185,20:05:00,2,59
186,20:05:00,3,48
187,20:10:00,1,94
188,20:10:00,2,73
189,20:10:00,3,88
190,20:15:00,1,38
191,20:15:00,2,91
192,20:15:00,3,22
193,20:20:00,1,62
194,20:20:00,2,78
195,20:20:00,3,63
196,20:25:00,1,42
197,20:25:00,2,99
198,20:25:00,3,48
199,20:30:00,1,56
200,20:30:00,2,38
201,20:30:00,3,94
202,20:35:00,1,91
203,20:35:00,2,73
204,20:35:00,3,88
205,20:40:00,1,38
206,20:40:00,2,79
207,20:40:00,3,22
208,20:45:00,1,95
209,20:45:00,2,62
210,20:45:00,3,78
211,20:50:00,1,42
212,20:50:00,2,91
213,20:50:00,3,99
214,20:55:00,1,36
215,20:55:00,2,71
216,20:55:00,3,38
217,21:00:00,1,88
218,21:00:00,2,29
219,21:00:00,3,56
